,Area
0, 1
1, 5
2, 12
3, 25
4, 12
5, 21
6, 108
7, 128
8, 15
9, 134
10, 16
11, 64
12, 18
13, 36
14, 153
15, 6
16, 17
17, 8
18, 1533
19, 11
20, 8
21, 2
22, 19
23, 7
24, 1
25, 18
26, 37
27, 35
28, 16
29, 128
30, 368
31, 14
32, 81
33, 28
34, 104
35, 1482050
36, 31
37, 5
38, 306
39, 55
40, 47
41, 186
42, 2757
43, 8
44, 28
45, 522
46, 8
47, 8
48, 3032
49, 3774
50, 79
51, 45
52, 4421
53, 1
54, 668
55, 1906
56, 66
57, 88
58, 28
59, 5
60, 75
61, 10
62, 2956
63, 303
64, 1541
65, 5
66, 738
67, 124
68, 2297
69, 12118
70, 177
71, 876
72, 5
73, 8614
74, 92
75, 3867
76, 6
77, 33
78, 16
79, 2468
80, 4273
81, 11
82, 274
83, 618
84, 399
85, 270
86, 828
87, 457
88, 37
89, 2438
90, 3420
91, 5181
92, 115
93, 776
94, 110
95, 946
96, 970
97, 3672
98, 60
99, 181
100, 10149
101, 5
102, 5498
103, 1477
104, 2709
105, 2
106, 276
107, 5
108, 5
109, 22
110, 6476
111, 18
112, 12
113, 5181
114, 10
115, 3122
116, 1620
117, 3419
118, 9
119, 22
120, 426
121, 5
122, 126
123, 1411
124, 19
125, 3355
126, 5570
127, 4
128, 4
129, 8
130, 610
131, 10
132, 2062
133, 14
134, 22
135, 6189
136, 100
137, 14
138, 13
139, 1295
140, 109
141, 28
142, 231
143, 303
144, 80
145, 1389
146, 1
147, 8
148, 58
149, 17517
150, 121
151, 164
152, 12901
153, 6085
154, 6
155, 4180
156, 13901
157, 31
158, 45
159, 8455
160, 8
161, 2965
162, 202
163, 25
164, 5
165, 5
166, 185
167, 5
168, 175
169, 5
170, 5
171, 245
172, 19
173, 7265
174, 51
175, 1
176, 8
177, 842
178, 2472
179, 2892
180, 14
181, 154
182, 87
183, 59
184, 5
185, 2805
186, 50
187, 5519
188, 3183
189, 1457
190, 163
191, 7437
192, 14
193, 4221
194, 2144
195, 8
196, 48
197, 84
198, 334
199, 217
200, 3231
201, 29
202, 5
203, 415
204, 1403
205, 2220
206, 29431
207, 188
208, 29
209, 11
210, 9994
211, 235
212, 6055
213, 76
214, 7658
215, 32
216, 50
217, 8
218, 26
219, 30
220, 1231
221, 857
222, 186
223, 43
224, 11983
225, 22
226, 5
227, 122
228, 41
229, 1555
230, 5296
231, 3
232, 1800
233, 302
234, 334
235, 5
236, 8
237, 81
238, 45
239, 18
240, 77
241, 6506
242, 4
243, 8
244, 12
245, 1539
246, 922
247, 11
248, 2249
249, 4459
250, 3
251, 301
252, 638
253, 5866
254, 468
255, 8
256, 8965
257, 23
258, 251
259, 101
260, 5
261, 1027
262, 217
263, 13430
264, 4695
265, 14
266, 3989
267, 1398
268, 1657
269, 8
